KeyCol;engine;exterior color;interior color;stock #;transmission
1;2.0l;blue flame;black;168688;manual
2;2.0l;blue flame;black;168688;manual
3;2.0l;blue flame;black;168688;manual
4;2.0l;blue flame;black;168688;manual
5;2.0l;blue flame;black;168688;manual
6;2.0l;blue flame;black;168688;manual
7;2.0l;blue flame;black;168688;manual
8;2.0l;blue flame;black;168688;manual
9;2.0l;blue flame;black;168688;manual
10;4.3l;graystone metallic;medium gray;122031;automatic
11;4.3l;graystone metallic;medium gray;122031;automatic
12;3.8l;white satin pearl;cashmere;221524;automatic
13;4.3l;graystone metallic;medium gray;122031;automatic
14;2.0l;green opal;graphite;078909;automatic
15;2.5l;nouveau ruby pearl;charcoal;211386;automatic
16;3.3l;gold rush metallic;sage;577242;automatic
17;2.0l;chilipepper red;black;040555;automatic
18;2.0l;green opal;graphite;078909;automatic
19;4.3l;graystone metallic;medium gray;122031;automatic
20;2.0l;green opal;graphite;078909;automatic
21;2.0l;green opal;graphite;078909;automatic
22;3.5l;super black;charcoal;113477;automatic
23;2.0l;chilipepper red;black;040555;automatic
24;4.3l;graystone metallic;medium gray;122031;automatic
25;4.3l;graystone metallic;medium gray;122031;automatic
26;2.0l;chilipepper red;black;040555;automatic
27;2.0l;green opal;graphite;078909;automatic
28;2.5l;nouveau ruby pearl;charcoal;211386;automatic
29;1.6l;gray;gray;083277r;manual
30;3.6l;techno gray;black;556767;automatic
31;4.3l;blue;tan;125595;automatic
32;4.3l;graystone metallic;medium gray;122031;automatic
33;3.6l;techno gray;black;556767;automatic
34;5.8;black mica;;a51108;automatic
35;3.0l;diamond white pearl;tan;232589;automatic
36;2.0l;chilipepper red;black;040555;automatic
37;2.0l;green opal;graphite;078909;automatic
38;1.6l;gray;gray;083277r;manual
39;3.8l;linen gold metallic pearl;dk khaki/lt graystone;866592;automatic
40;3.3l;gold rush metallic;sage;577242;automatic
41;2.0l;green opal;graphite;078909;automatic
42;3.6l;techno gray;black;556767;automatic
43;4.3l;graystone metallic;medium gray;122031;automatic
44;2.0l;chilipepper red;black;040555;automatic
45;2.0l;blue flame;black;168688;manual
46;2.0l;chilipepper red;black;040555;automatic
47;2.0l;blue flame;black;168688;manual
48;2.0l;blue flame;black;168688;manual
49;2.0l;green opal;graphite;078909;automatic
50;2.0l;chilipepper red;black;040555;automatic
51;3.6l;techno gray;black;556767;automatic
52;2.0l;chilipepper red;black;040555;automatic
53;3.6l;techno gray;black;556767;automatic
54;3.4;black;gray;141539;manual
55;3.3l;gold rush metallic;sage;577242;automatic
56;4.3l;graystone metallic;medium gray;122031;automatic
57;3.6l;techno gray;black;556767;automatic
58;4.3l;graystone metallic;medium gray;122031;automatic
59;4.3l;graystone metallic;medium gray;122031;automatic
60;4.3l;graystone metallic;medium gray;122031;automatic
61;2.0l;blue flame;black;168688;manual
62;3.6l;techno gray;black;556767;automatic
63;2.0l;chilipepper red;black;040555;automatic
64;4.3l;blue;tan;125595;automatic
65;2.0l;green opal;graphite;078909;automatic
66;2.0l;chilipepper red;black;040555;automatic
67;2.0l;green opal;graphite;078909;automatic
68;2.3l;azure gray metallic;black;354132;automatic
69;3.6l;techno gray;black;556767;automatic
70;2.0l;green opal;graphite;078909;automatic
71;2.3l;green;gray;142573;automatic
72;4.3l;graystone metallic;medium gray;122031;automatic
73;2.0l;green opal;graphite;078909;automatic
74;3.6l;techno gray;black;556767;automatic
75;2.0l;black;gray;781953;manual
76;3.6l;techno gray;black;556767;automatic
77;2.0l;blue flame;black;168688;manual
78;3.3l;gold rush metallic;sage;577242;automatic
