Automotive; 2fwww.leasetrader.com.json.csv; a30651.cmorecars.com.json.csv; engine:; engine; 41; 0
Automotive; 2fwww.leasetrader.com.json.csv; a30651.cmorecars.com.json.csv; fuel type:; fuel; 57; 2
Automotive; 2fwww.leasetrader.com.json.csv; a30651.cmorecars.com.json.csv; actual mileage:; mileage; 12; 4
Automotive; 2fwww.leasetrader.com.json.csv; a30651.cmorecars.com.json.csv; transmission:; transmission\n; 105; 6
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; doors:; doors:; 29; 1
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; drivetrain:; drive:; 34; 2
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; engine:; engine:; 41; 3
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; actual mileage:; mileage:; 12; 7
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; vehicle msrp:; msrp:; 109; 10
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; transmission:; transmission:; 105; 14
Automotive; 2fwww.leasetrader.com.json.csv; adachevy.com.json.csv; vin:; vin:\n; 110; 15
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; doors:; doors:; 29; 1
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; drivetrain:; drive:; 34; 2
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; engine:; engine:; 41; 3
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; actual mileage:; mileage:; 12; 7
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; vehicle msrp:; msrp:; 109; 8
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; transmission:; transmission:; 105; 12
Automotive; 2fwww.leasetrader.com.json.csv; huntersvilleford.com.json.csv; vin:; vin:\n; 110; 13
Automotive; 2fwww.leasetrader.com.json.csv; supercarsautosales.com.json.csv; engine:; engine; 41; 0
Automotive; 2fwww.leasetrader.com.json.csv; supercarsautosales.com.json.csv; fuel type:; fuel; 57; 2
Automotive; 2fwww.leasetrader.com.json.csv; supercarsautosales.com.json.csv; actual mileage:; mileage; 12; 4
Automotive; 2fwww.leasetrader.com.json.csv; supercarsautosales.com.json.csv; transmission:; transmission\n; 105; 6
Automotive; 2fwww.leasetrader.com.json.csv; www.augustaautoandtrucksales.com.json.csv; engine:; engine; 41; 0
Automotive; 2fwww.leasetrader.com.json.csv; www.augustaautoandtrucksales.com.json.csv; actual mileage:; mileage; 12; 2
Automotive; 2fwww.leasetrader.com.json.csv; www.augustaautoandtrucksales.com.json.csv; transmission:; transmission\n; 105; 4
Automotive; 2fwww.leasetrader.com.json.csv; cervantesauto.com.json.csv; engine:; engine; 41; 0
Automotive; 2fwww.leasetrader.com.json.csv; cervantesauto.com.json.csv; actual mileage:; mileage; 12; 2
Automotive; 2fwww.leasetrader.com.json.csv; cervantesauto.com.json.csv; transmission:; transmission\n; 105; 4
Automotive; 2fwww.leasetrader.com.json.csv; hevenerscars.com.json.csv; engine:; engine; 41; 0
Automotive; 2fwww.leasetrader.com.json.csv; hevenerscars.com.json.csv; fuel type:; fuel; 57; 2
Automotive; 2fwww.leasetrader.com.json.csv; hevenerscars.com.json.csv; transmission:; transmission\n; 105; 6
Automotive; 2fwww.leasetrader.com.json.csv; irbyautosales.com.json.csv; engine:; engine; 41; 0
Automotive; 2fwww.leasetrader.com.json.csv; irbyautosales.com.json.csv; fuel type:; fuel; 57; 2
Automotive; 2fwww.leasetrader.com.json.csv; irbyautosales.com.json.csv; actual mileage:; mileage; 12; 4
Automotive; 2fwww.leasetrader.com.json.csv; irbyautosales.com.json.csv; transmission:; transmission\n; 105; 6
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; drivetrain:; drivetrain; 34; 5
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; fuel type:; fuel; 57; 8
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; actual mileage:; mileage; 12; 10
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; doors:; no. doors; 29; 11
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; transmission:; transmission; 105; 15
