('Automotive', '2fwww.leasetrader.com.json.csv', 'a30651.cmorecars.com.json.csv', 'fuel type:', 'fuel', '57', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'a30651.cmorecars.com.json.csv', 'transmission:', 'transmission\n', '105', '6')
('Automotive', '2fwww.leasetrader.com.json.csv', 'adachevy.com.json.csv', 'doors:', 'doors:', '29', '1')
('Automotive', '2fwww.leasetrader.com.json.csv', 'adachevy.com.json.csv', 'engine:', 'engine:', '41', '3')
('Automotive', '2fwww.leasetrader.com.json.csv', 'adachevy.com.json.csv', 'vehicle msrp:', 'msrp:', '109', '10')
('Automotive', '2fwww.leasetrader.com.json.csv', 'adachevy.com.json.csv', 'transmission:', 'transmission:', '105', '14')
('Automotive', '2fwww.leasetrader.com.json.csv', 'adachevy.com.json.csv', 'vin:', 'vin:\n', '110', '15')
('Automotive', '2fwww.leasetrader.com.json.csv', 'agnautogallery.com.json.csv', 'engine:', 'engine', '41', '0')
('Automotive', '2fwww.leasetrader.com.json.csv', 'agnautogallery.com.json.csv', 'fuel type:', 'fuel', '57', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'agnautogallery.com.json.csv', 'transmission:', 'transmission\n', '105', '6')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'doors:', 'doors:', '29', '1')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'drivetrain:', 'drive:', '34', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'engine:', 'engine:', '41', '3')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'vehicle msrp:', 'msrp:', '109', '10')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'vehicle location:', 'location:', '108', '7')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'transmission:', 'transmission:', '105', '14')
('Automotive', '2fwww.leasetrader.com.json.csv', 'allensamuels.com.json.csv', 'vin:', 'vin:\n', '110', '15')
('Automotive', '2fwww.leasetrader.com.json.csv', 'andersonfordsc.com.json.csv', 'doors:', 'doors:', '29', '1')
('Automotive', '2fwww.leasetrader.com.json.csv', 'andersonfordsc.com.json.csv', 'drivetrain:', 'drive:', '34', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'andersonfordsc.com.json.csv', 'engine:', 'engine:', '41', '3')
('Automotive', '2fwww.leasetrader.com.json.csv', 'andersonfordsc.com.json.csv', 'vehicle msrp:', 'msrp:', '109', '8')
('Automotive', '2fwww.leasetrader.com.json.csv', 'andersonfordsc.com.json.csv', 'transmission:', 'transmission:', '105', '12')
('Automotive', '2fwww.leasetrader.com.json.csv', 'andersonfordsc.com.json.csv', 'vin:', 'vin:\n', '110', '13')
('Automotive', '2fwww.leasetrader.com.json.csv', 'ashevilleford.com.json.csv', 'doors:', 'doors:', '29', '1')
('Automotive', '2fwww.leasetrader.com.json.csv', 'ashevilleford.com.json.csv', 'drivetrain:', 'drive:', '34', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'ashevilleford.com.json.csv', 'engine:', 'engine:', '41', '3')
('Automotive', '2fwww.leasetrader.com.json.csv', 'ashevilleford.com.json.csv', 'vehicle msrp:', 'msrp:', '109', '9')
('Automotive', '2fwww.leasetrader.com.json.csv', 'ashevilleford.com.json.csv', 'transmission:', 'transmission:', '105', '13')
('Automotive', '2fwww.leasetrader.com.json.csv', 'ashevilleford.com.json.csv', 'vin:', 'vin:\n', '110', '14')
('Automotive', '2fwww.leasetrader.com.json.csv', 'canadaautosales.net.json.csv', 'doors:', 'doors', '29', '3')
('Automotive', '2fwww.leasetrader.com.json.csv', 'canadaautosales.net.json.csv', 'engine:', 'engine', '41', '4')
('Automotive', '2fwww.leasetrader.com.json.csv', 'canadaautosales.net.json.csv', 'fuel type:', 'fuel', '57', '6')
('Automotive', '2fwww.leasetrader.com.json.csv', 'canadaautosales.net.json.csv', 'transmission:', 'transmission', '105', '15')
('Automotive', '2fwww.leasetrader.com.json.csv', 'canadaautosales.net.json.csv', 'vin:', 'vin', '110', '17')
('Automotive', '2fwww.leasetrader.com.json.csv', 'cherokeeautogroup.com.json.csv', 'engine:', 'engine', '41', '0')
('Automotive', '2fwww.leasetrader.com.json.csv', 'cherokeeautogroup.com.json.csv', 'fuel type:', 'fuel', '57', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'cherokeeautogroup.com.json.csv', 'transmission:', 'transmission\n', '105', '6')
('Automotive', '2fwww.leasetrader.com.json.csv', 'drivecrescent.com.json.csv', 'engine:', 'engine', '41', '0')
('Automotive', '2fwww.leasetrader.com.json.csv', 'drivecrescent.com.json.csv', 'fuel type:', 'fuel', '57', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'drivecrescent.com.json.csv', 'transmission:', 'transmission\n', '105', '6')
('Automotive', '2fwww.leasetrader.com.json.csv', 'foremanmotorsinc.com.json.csv', 'transmission:', 'transmission\n', '105', '4')
('Automotive', '2fwww.leasetrader.com.json.csv', 'supercarsautosales.com.json.csv', 'engine:', 'engine', '41', '0')
('Automotive', '2fwww.leasetrader.com.json.csv', 'supercarsautosales.com.json.csv', 'fuel type:', 'fuel', '57', '2')
('Automotive', '2fwww.leasetrader.com.json.csv', 'supercarsautosales.com.json.csv', 'transmission:', 'transmission\n', '105', '6')
